,25,50,75,100,125,full_HVR
Phylum,0.8836756756756756,0.9784864864864865,0.9941621621621621,0.9972972972972973,0.9993513513513513,0.0
Order,0.8792432432432432,0.9764324324324324,0.9924324324324324,0.9962162162162163,0.9993513513513513,0.0
Class,0.8122162162162162,0.9424864864864865,0.9778378378378378,0.9883243243243244,0.9968648648648649,0.0
Family,0.7336216216216216,0.9116756756756756,0.9564324324324325,0.9747027027027027,0.9942702702702703,0.0
Genus,0.5982702702702702,0.798918918918919,0.8804324324324324,0.9188108108108108,0.9764324324324324,0.0
