,25,50,75,100,125,full_HVR
Phylum,0.9322800718132854,0.9851992818671454,0.9952962298025134,0.9972208258527827,0.9989156193895871,0.0
Order,0.876983842010772,0.9597055655296229,0.9882800718132855,0.994786355475763,0.99816157989228,0.0
Class,0.7032244165170557,0.8860538599640934,0.9557199281867146,0.9747935368043088,0.9939892280071814,0.0
Family,0.6461831238779174,0.8463698384201077,0.9343195691202872,0.9614721723518851,0.9901903052064632,0.0
Genus,0.5286463195691203,0.7276193895870736,0.8253644524236984,0.869407540394973,0.9438563734290842,0.0
