,25,50,75,100,125,full_HVR
Phylum,0.9248208469055375,0.9711270358306189,0.987557003257329,0.9931074918566776,0.9971465798045602,0.0
Order,0.8408338762214984,0.9494332247557004,0.9833094462540717,0.9913745928338762,0.9964690553745928,0.0
Class,0.6364951140065147,0.8548794788273616,0.9365602605863192,0.9667361563517916,0.9909967426710098,0.0
Family,0.5949837133550488,0.8230488599348534,0.9140325732899023,0.9516872964169381,0.9879478827361563,0.0
Genus,0.36213680781758956,0.577915309446254,0.6955309446254072,0.7647166123778502,0.9045732899022801,0.0
