epoch,dense_3_acc,dense_3_loss,dense_4_acc,dense_4_loss,dense_5_acc,dense_5_loss,dense_6_acc,dense_6_loss,dense_7_acc,dense_7_loss,loss,val_dense_3_acc,val_dense_3_loss,val_dense_4_acc,val_dense_4_loss,val_dense_5_acc,val_dense_5_loss,val_dense_6_acc,val_dense_6_loss,val_dense_7_acc,val_dense_7_loss,val_loss
0,0.9543685228233145,0.20165690275591988,0.9293857939298231,0.2933214184096988,0.8178541271548697,0.7847031264238761,0.7816007670753362,1.0175603544071403,0.5188905963072671,2.345688170755207,4.642929968358001,0.9834782649641451,0.0713411811992283,0.9757173919807309,0.10358093128256175,0.9165217364611833,0.35750852768187935,0.8949130456084791,0.46896537830648216,0.6745869578874629,1.3729000023525695,2.3742960192587064
1,0.9822226517374365,0.07459638593539653,0.9735662210124926,0.1102825685086054,0.9133973133083497,0.3570982823845521,0.8933896349167412,0.46286964183405127,0.6728406918597999,1.3270377114043355,2.3318845891677946,0.9879782552952352,0.05540541820633023,0.980217395917229,0.08842522286526534,0.9297608668389528,0.2999440565219392,0.9143695649893387,0.38694095328126266,0.7149565216639767,1.1573684669059257,1.9880841160598008
2,0.9850479848897389,0.06411114282371573,0.9773320575707705,0.09677525212355459,0.9245950073976206,0.3153460667023503,0.9060882919695007,0.4068954868846342,0.6997619964568491,1.187084427607494,2.0702123716330574,0.9891956477709438,0.05090531828793009,0.9820434807435326,0.08238685537008164,0.9344999987794005,0.2815182253556407,0.9173913021450457,0.3649427320646203,0.7284782619579978,1.0778400648547255,1.857593200776888
3,0.9864836837989126,0.05812974557666655,0.9784030750136458,0.09002919752872951,0.9271324365015451,0.30162065427557294,0.9098694818148,0.38754600001903045,0.7102226486819262,1.1280145365423067,1.9653401298166007,0.9896086911144464,0.046658750269157084,0.9812826131996901,0.07768410530305751,0.9359565189351207,0.2702773131997041,0.9209347824039666,0.35087411348586495,0.7376304346582164,1.038694492176823,1.7841887720253156
4,0.9867485594612165,0.05648187790673777,0.9788330177885557,0.08758623724009648,0.9297811891204336,0.29085005293537697,0.9134625726148858,0.3730231349190229,0.7170249528596588,1.0935743122778103,1.9015156149635388,0.9889347773531209,0.048359030245236405,0.9827391327075337,0.07800738188519102,0.9345652150071185,0.27447447840772243,0.9198695657693822,0.3520910471029904,0.734956522350726,1.032990748791591,1.7859226866908695
5,0.9876621854053578,0.05423000981564671,0.979689063071747,0.0847238597510143,0.9310671764349068,0.2832185119933908,0.9152360841660491,0.36438804987868056,0.7219462576617206,1.07164308526008,1.8582035161254502,0.9893478219923766,0.047436883689521855,0.9837391337622767,0.07441966730655859,0.9385217369898505,0.26138846487130807,0.9244347813984622,0.3351298948830884,0.7441739128983539,0.9948102472269017,1.7131851581127748
6,0.987416503353906,0.05376381353357174,0.9799309064582304,0.08356579609265312,0.9327447200462137,0.2788390917006358,0.9169520151134645,0.35825833485188274,0.7252629557177568,1.0586483200543673,1.8330753556597486,0.9902391255549763,0.04457491572247818,0.9823043521331705,0.07250215642599632,0.9401304329866949,0.25367633224991354,0.925826085002526,0.3269086695559647,0.745608695499275,0.9877027716973553,1.6853648417669793
7,0.9877619941266622,0.05135020875817097,0.9807715973675594,0.0801375249549103,0.9338618018691233,0.27274611061742804,0.9180998079149828,0.3518645313073257,0.7262917466447358,1.0477991864342606,1.8038975628461125,0.9909565150737762,0.043454434669515846,0.9837391314947087,0.07333416748872917,0.9386304331862408,0.26310819152580656,0.9247173900189607,0.33502847231600597,0.7447608709335327,0.9922455111923425,1.7071707825297895
8,0.988268710715757,0.05010005244390857,0.9811938616112875,0.07900820819450088,0.9351708230610772,0.26875379349814726,0.919696737731487,0.3457209582292187,0.729385795840375,1.0351714873382547,1.778754497558279,0.9907391243006872,0.043811764950236386,0.9849347828522973,0.07069733642223898,0.9403043450868648,0.25650923241577717,0.9249130412936211,0.3315860735171515,0.7458043467739354,0.9791667623364407,1.6817711682423302
9,0.9878541246599977,0.05040479217291293,0.9807869523706454,0.0782857908708206,0.9353589235935468,0.2659828788216535,0.91993857871548,0.34282420647121437,0.7304952026214343,1.0280865424539671,1.765584210859837,0.9903478188359219,0.043923584391292105,0.984239131860111,0.07152361672817041,0.9400217351706132,0.25384657599193894,0.9251739110635675,0.32657763993610506,0.7480869581517966,0.978303077104299,1.6741744986046916
10,0.9888637198596449,0.04716299717169748,0.9815393498099468,0.07643925794534343,0.9357581560190718,0.2656329975690471,0.919873320152572,0.34312146032611607,0.7317044152064882,1.0228824354636692,1.755239147142348,0.9898043410933536,0.04536365877593989,0.9833043518921604,0.07355483608198879,0.9391521717543188,0.2575127620897863,0.925499996089417,0.32761854929444584,0.7495434783075167,0.9695025724561318,1.673552380307861
