,25,50,75,100,125,full_HVR
Phylum,0.7577138130686518,0.8687047146401985,0.908737799834574,0.9226468155500414,0.928066170388751,0.9363771712158809
Order,0.7194971050454921,0.8419652605459057,0.8901538461538462,0.9093068651778329,0.9163937138130687,0.9251348221670802
Class,0.5756195202646816,0.7508155500413564,0.8390868486352357,0.8811182795698925,0.8989875930521092,0.9171248966087676
Family,0.492354011579818,0.6917650951199338,0.80095947063689,0.8569032258064516,0.8832258064516127,0.9121488833746898
Genus,0.36644168734491317,0.5524267990074442,0.6756095947063689,0.750494623655914,0.796923076923077,0.8886021505376344
