,25,50,75,100,125,full_HVR
Phylum,0.9634909090909091,0.9889038961038961,0.9961142857142857,0.9983272727272727,0.9991792207792208,0.0
Order,0.8839168831168831,0.9708883116883117,0.9906805194805195,0.9961454545454546,0.9988051948051948,0.0
Class,0.6722181818181818,0.855761038961039,0.9144727272727273,0.9529038961038961,0.9951064935064935,0.0
Family,0.6357714285714285,0.8231376623376624,0.8903064935064935,0.9395428571428571,0.9928623376623377,0.0
Genus,0.4033246753246753,0.5936519480519481,0.6709090909090909,0.7315324675324675,0.9279376623376623,0.0
