,25,50,75,100,125,full_HVR
Phylum,0.8672620320855615,0.9558181818181818,0.9856042780748663,0.9923957219251337,0.9971550802139038,0.0
Order,0.8013689839572192,0.9422566844919786,0.982096256684492,0.9906417112299465,0.996524064171123,0.0
Class,0.6207914438502674,0.8555294117647059,0.9383208556149732,0.9656791443850268,0.9909839572192514,0.0
Family,0.576331550802139,0.8187700534759358,0.9147058823529411,0.9502139037433155,0.9867486631016043,0.0
Genus,0.3849946524064171,0.6042352941176471,0.7241604278074867,0.7826737967914439,0.912192513368984,0.0
