,25,50,75,100,125,full_HVR
Phylum,0.8914021871202916,0.9813997569866343,0.993273390036452,0.9961895504252734,0.9983037667071689,0.0
Order,0.8560437424058324,0.9714264884568651,0.9899198055893074,0.9944447144592953,0.9978469015795869,0.0
Class,0.7393827460510328,0.9297108140947752,0.9682089914945322,0.9811567436208991,0.9928991494532199,0.0
Family,0.655805589307412,0.8947363304981774,0.949584447144593,0.9693219927095991,0.9868918590522479,0.0
Genus,0.5028918590522479,0.7562964763061968,0.8456865127582017,0.8876111786148239,0.9333851761846902,0.0
