,25,50,75,100,125,full_HVR
Phylum,0.8923353584447145,0.9838347509113001,0.994187120291616,0.9968019441069259,0.9977253948967193,0.0
Order,0.8677181044957473,0.9764325637910085,0.9919805589307412,0.9958930741190766,0.9972442284325638,0.0
Class,0.7681409477521264,0.9417496962332929,0.9765686512758202,0.9860850546780073,0.9922575941676792,0.0
Family,0.7070619684082624,0.914546780072904,0.9628481166464156,0.9784544349939247,0.9871445929526124,0.0
Genus,0.5662989064398541,0.8011324422843257,0.8816330498177399,0.9183718104495747,0.9545759416767923,0.0
