,25,50,75,100,125,full_HVR
Phylum,0.8919416767922236,0.9813851761846901,0.9935844471445929,0.9960923450789794,0.997501822600243,0.0
Order,0.8569283110571081,0.9719562575941677,0.9902405832320778,0.9946148238153099,0.9964763061968408,0.0
Class,0.7409769137302552,0.9300996354799514,0.9692296476306197,0.9813511543134873,0.9893171324422844,0.0
Family,0.6556695018226002,0.8960923450789794,0.950906439854192,0.9692928311057109,0.9810109356014581,0.0
Genus,0.5018469015795869,0.7569185905224788,0.8460315917375456,0.8879902794653706,0.9162041312272174,0.0
