,25,50,75,100,125,full_HVR
Phylum,0.8917375455650061,0.9815990279465371,0.9934969623329283,0.9962673147023087,0.9983037667071689,0.0
Order,0.8566755771567435,0.9720048602673147,0.9901239368165249,0.9946294046172539,0.9978469015795869,0.0
Class,0.7414240583232077,0.9308821385176185,0.968996354799514,0.9815407047387606,0.9928991494532199,0.0
Family,0.6563353584447145,0.8962235722964763,0.9509015795868773,0.9697205346294048,0.9868918590522479,0.0
Genus,0.5028626974483597,0.7572831105710814,0.8461287970838396,0.8884714459295261,0.9333851761846902,0.0
